Longitude,Latitude,Year,Scientific.Name,Source
-170.55997847,-14.29644013,2010,Genus Tridacna,RAMP/NCRMP
-170.55990955,-14.29619537,2008,Genus Tridacna,RAMP/NCRMP
-170.55965677,-14.29576521,2012,Genus Tridacna,RAMP/NCRMP
-170.55962451,-14.25481366,2004,Genus Tridacna,RAMP/NCRMP
-170.55902018,-14.26186045,2008,Genus Tridacna,RAMP/NCRMP
-170.55865896,-14.27767401,2008,Genus Tridacna,RAMP/NCRMP
-170.55859344,-14.27762706,2012,Genus Tridacna,RAMP/NCRMP
-170.55820748,-14.25416299,2008,Genus Tridacna,RAMP/NCRMP
-170.55779346,-14.2953227,2010,Genus Tridacna,RAMP/NCRMP
-170.55758423,-14.29500479,2012,Genus Tridacna,RAMP/NCRMP
-170.55732207,-14.26011816,2012,Genus Tridacna,RAMP/NCRMP
-170.55688473,-14.27649116,2012,Genus Tridacna,RAMP/NCRMP
